,2020 (first half) - Model 0,2020 (first half) - Model 6,2020 (first half) - Model 9,2020 (first half) - Model 10,2020 - Model 0,2020 - Model 6,2020 - Model 9,2020 - Model 10,2021 - Model 0,2021 - Model 6,2021 - Model 9,2021 - Model 10,2022 - Model 0,2022 - Model 6,2022 - Model 9,2022 - Model 10,2020-2022 - Model 0,2020-2022 - Model 6,2020-2022 - Model 9,2020-2022 - Model 10
Degrees of Freedom,4.0,4.0,4.0,16.0,4.0,4.0,4.0,16.0,4.0,4.0,4.0,17.0,4.0,4.0,4.0,17.0,4.0,4.0,4.0,17.0
Residual degrees of freedom,5555.0,5555.0,5555.0,5543.0,5555.0,5555.0,5555.0,5543.0,5555.0,5555.0,5555.0,5542.0,5555.0,5555.0,5555.0,5542.0,5555.0,5555.0,5555.0,5542.0
Deviance,5212.33,5282.27,3482.39,3459.08,6129.63,6250.03,5508.73,5475.02,5989.34,6061.17,5629.4,5796.4,6215.31,6081.1,4514.51,4475.17,5645.21,5765.48,5589.89,5706.68
Pearson's chi-squared,5548.32,6210.39,5381.89,5269.94,5393.48,5806.29,7492.53,7419.65,5465.31,5952.66,5723.22,5868.92,5837.18,5714.57,7346.81,6728.8,5192.39,5632.12,5605.5,5731.41
$R_{CS}^{2}$,0.17,0.25,0.09,0.1,0.02,0.12,0.04,0.08,0.38,0.51,0.49,0.58,0.2,0.26,0.26,0.4,0.26,0.43,0.45,0.58
$R_{McF}^{2}$,0.05,0.07,0.03,0.03,0.0,0.02,0.01,0.01,0.06,0.09,0.09,0.11,0.05,0.06,0.07,0.11,0.04,0.07,0.07,0.1
$LL_{	ext{model}}$,-10565.42,-10379.59,-8535.45,-8500.32,-16929.12,-16668.55,-15676.7,-15569.09,-20491.5,-20107.98,-19735.82,-19474.61,-12836.21,-12634.98,-11551.39,-11168.82,-22361.64,-21887.94,-21595.62,-21189.57
$LL_{	ext{null}}$,-11095.92,-11173.81,-8790.19,-8797.02,-16981.74,-17009.94,-15788.55,-15795.72,-21826.6,-22110.75,-21602.9,-21911.48,-13445.69,-13490.71,-12374.07,-12599.77,-23199.41,-23431.99,-23250.46,-23614.94
Akaike Information Criterion (AIC),21140.83,20769.17,17080.9,17034.65,33868.24,33347.09,31363.4,31172.18,40993.0,40225.96,39481.63,38985.22,25682.42,25279.95,23112.77,22373.64,44733.29,43785.89,43201.24,42415.13
Bayesian information criterion (BIC),21173.95,20802.29,17114.01,17147.24,33901.36,33380.21,31396.51,31284.78,41026.12,40259.07,39514.75,39104.44,25715.53,25313.07,23145.89,22492.86,44766.4,43819.01,43234.36,42534.35
